video_id,video_title,description,channel_id,channel_name,published_at,duration_sec,duration_min,is_shorts_guess,view_count,like_count,comment_count,video_url,matched_perf_id,matched_title,matched_genre,matched_venue,matched_perf_start,matched_perf_end,video_type,source_type,notes,channel_subscriber_count,channel_video_count
GIb_nzNVbqY,대한민국 문화도시 충주 수상불꽃극  호수 위 우주,대한민국 문화도시 충주 수상불꽃극  호수 위 우주,UCSRntMWAVxjLFXtyiXFlaIw,문화도시충주,2025-12-22T02:14:29Z,58,0.97,True,56,0,0,https://www.youtube.com/watch?v=GIb_nzNVbqY,PF225545,호수 위 우주 [충주],복합,탄금호 국제조정경기장,2023-09-21,2023-09-24,,,,10,43
wRfT4tTr1Qc,호수 위 우주(Universe on Lake)_Highlight ver. #예술불꽃화랑 #호수위우주  #수상불꽃극 _ 예술경영지원센터 '2023 공연유통 협력지원사업' 공식선정작,"호수 위 우주 (Universe on Lake)_Highlight ver.
#호수위우주 #수상불꽃극 #하이라이트

호수 위를 이동하는 수상 오브제, 무용수들의움직임, 불꽃이
함께 만들어 내는 국내유일의 수상 불꽃 공연입니다.
물 위의 공간을 활용하여 불과 불꽃의 표현 영역을 확장시켜
견우와 직녀의 못다 이룬 사랑이야기를 현대적인 시각으로 재창작한 공연입니다.

- 러닝타임 : 60분
- 참여인원 : 출연진 15명, 스탭 40명 / 총 55명
- 충주 탄금호 공연 : 2023. 09.21 ~ 09.24 
- 세종 호수공원 공연 : 2023. 10.06 ~ 10.09

* 호수 위에서 펼쳐지는 수상공연의 새로운 패러다임
* 대한민국 대표 야외 관광 상품
* 야간관광 활성화를 위한 지자체와 공연단체의 상생 구조 플랫폼 마련",UC5Tgd78YyaCMM-eNCTQlHBg,예술불꽃화랑,2023-12-14T03:09:03Z,394,6.57,False,2085,22,0,https://www.youtube.com/watch?v=wRfT4tTr1Qc,PF225545,호수 위 우주 [충주],복합,탄금호 국제조정경기장,2023-09-21,2023-09-24,,,,208,80
dVd8m0yupCg,대한민국 문화도시 충주 수상불꽃극  호수 위 우주,대한민국 문화도시 충주 수상불꽃극  호수 위 우주,UCSRntMWAVxjLFXtyiXFlaIw,문화도시충주,2025-12-22T02:15:53Z,394,6.57,False,28,0,0,https://www.youtube.com/watch?v=dVd8m0yupCg,PF225545,호수 위 우주 [충주],복합,탄금호 국제조정경기장,2023-09-21,2023-09-24,,,,10,43
8hwCq3QPM5s,251011 이선애 배우님 03 호수 위 우주 - 충주,"충주 문화도시센터 https://www.instagram.com/cccj2022/
수상불꽃극, 호수 위 우주 https://www.instagram.com/universe_lake_/
이선애 배우님 https://www.instagram.com/2ssun_ae/",UC6v4Qx4esYzOJ8BwSEmbJMQ,Ye-seul,2025-10-12T13:07:08Z,191,3.18,False,139,0,0,https://www.youtube.com/watch?v=8hwCq3QPM5s,PF225545,호수 위 우주 [충주],복합,탄금호 국제조정경기장,2023-09-21,2023-09-24,,,,7770,470
-fUXFaBSJY0,251010 이수연 배우님 01 호수 위 우주 - 충주,"충주 문화도시센터 https://www.instagram.com/cccj2022/
수상불꽃극, 호수 위 우주 https://www.instagram.com/universe_lake_/
이수연 배우님 https://www.instagram.com/xooyne/",UC6v4Qx4esYzOJ8BwSEmbJMQ,Ye-seul,2025-10-12T13:26:36Z,198,3.3,False,60,0,0,https://www.youtube.com/watch?v=-fUXFaBSJY0,PF225545,호수 위 우주 [충주],복합,탄금호 국제조정경기장,2023-09-21,2023-09-24,,,,7770,470
sq3MaSzbP7M,251010 이선애 배우님 03 호수 위 우주 - 충주,"충주 문화도시센터 https://www.instagram.com/cccj2022/
수상불꽃극, 호수 위 우주 https://www.instagram.com/universe_lake_/
이선애 배우님 https://www.instagram.com/2ssun_ae/",UC6v4Qx4esYzOJ8BwSEmbJMQ,Ye-seul,2025-10-12T13:16:42Z,43,0.72,True,66,1,0,https://www.youtube.com/watch?v=sq3MaSzbP7M,PF225545,호수 위 우주 [충주],복합,탄금호 국제조정경기장,2023-09-21,2023-09-24,,,,7770,470
8gy52aH1Gu8,251011 이수연 배우님 01 호수 위 우주 - 충주,"충주 문화도시센터 https://www.instagram.com/cccj2022/
수상불꽃극, 호수 위 우주 https://www.instagram.com/universe_lake_/
이수연 배우님 https://www.instagram.com/xooyne/",UC6v4Qx4esYzOJ8BwSEmbJMQ,Ye-seul,2025-10-12T13:15:06Z,273,4.55,False,37,0,0,https://www.youtube.com/watch?v=8gy52aH1Gu8,PF225545,호수 위 우주 [충주],복합,탄금호 국제조정경기장,2023-09-21,2023-09-24,,,,7770,470
ZVvYCo0p-hs,251010 이선애 배우님 01 호수 위 우주 - 충주,"충주 문화도시센터 https://www.instagram.com/cccj2022/
수상불꽃극, 호수 위 우주 https://www.instagram.com/universe_lake_/
이선애 배우님 https://www.instagram.com/2ssun_ae/",UC6v4Qx4esYzOJ8BwSEmbJMQ,Ye-seul,2025-10-12T13:21:07Z,94,1.57,False,63,1,0,https://www.youtube.com/watch?v=ZVvYCo0p-hs,PF225545,호수 위 우주 [충주],복합,탄금호 국제조정경기장,2023-09-21,2023-09-24,,,,7770,470
4QKR7YsMV-M,251010 이선애 배우님 02 호수 위 우주 - 충주,"충주 문화도시센터 https://www.instagram.com/cccj2022/
수상불꽃극, 호수 위 우주 https://www.instagram.com/universe_lake_/
이선애 배우님 https://www.instagram.com/2ssun_ae/",UC6v4Qx4esYzOJ8BwSEmbJMQ,Ye-seul,2025-10-12T13:18:04Z,77,1.28,False,54,0,0,https://www.youtube.com/watch?v=4QKR7YsMV-M,PF225545,호수 위 우주 [충주],복합,탄금호 국제조정경기장,2023-09-21,2023-09-24,,,,7770,470
FldqDeb38oA,251011 이선애 배우님 02 호수 위 우주 - 충주,"충주 문화도시센터 https://www.instagram.com/cccj2022/
수상불꽃극, 호수 위 우주 https://www.instagram.com/universe_lake_/
이선애 배우님 https://www.instagram.com/2ssun_ae/",UC6v4Qx4esYzOJ8BwSEmbJMQ,Ye-seul,2025-10-12T13:09:05Z,83,1.38,False,37,0,0,https://www.youtube.com/watch?v=FldqDeb38oA,PF225545,호수 위 우주 [충주],복합,탄금호 국제조정경기장,2023-09-21,2023-09-24,,,,7770,470
