prfnm,entrpsnm,genrenm,telno,relateurl,mt30id
"Just 바리X운정X은용, 영산회상, 그 명상적 이행",(AKA)운뎅,한국음악(국악),010-5275-1298,,AG014122
"셀럽피아 앙상블 연주회, 여행 I: 유럽",(CELEBPIA PIANO ENSEMBLE) 셀럽피아앙상블,서양음악(클래식),,,AG021478
도깨비 가족 마술쇼 [일산],(High)매직 엔터테인먼트,복합,,https://highmagic.modoo.at/,AG016512
"미라클 보이스 앙상블 장애인의 날 기념 투어 콘서트: The Voice of Miracle [부산], 아르텔필하모닉오케스트라와 함께하는 사랑의 송가 [부산]",(복)단우복지재단,서양음악(클래식),051-907-1042,http://danwoobokji.com/default/,AG011412
부산버스킹페스타,(사) 2030부산월드엑스포범시민유치위원회,대중음악,051-669-4291,https://www.2030busanexpo.kr/index.expo,AG013422
"제5회 (사) BPS챔버오케스트라 정기연주회, 제5회 (사) BPS챔버오케스트라 정기연주회, 제4회 (사) BPS챔버오케스트라 정기연주회",(사) BPS챔버오케스트라,서양음악(클래식),,,AG018555
"KNN방송교향악단 10주년 기념 기획공연: 월드클래스 성악가 시리즈 [부산], KNN방송교향악단 10주년 기념 기획공연: 월드클래스 성악가 시리즈 [부산], KNN방송교향악단 10주년 기념 기획공연: 월드클래스 성악가 시리즈 [부산]",(사) KNN방송교향악단,서양음악(클래식),051-850-9568,https://www.knnphil.com/,AG007482
"사단법인더문화와 함께하는 클래식 페스티벌 [전주], 사단법인더문화와 함께하는 클래식 페스티벌 [전주], 투리 피아노 듀오 리사이틀 [전주]",(사) THE 문화(사단법인 더 문화),복합,,,AG014973
이영희 명인과 함께하는 가야금 농현의 미Ⅱ [성남],(사) 가야금산조보존연구회 경기지회,한국음악(국악),,,AG019918
제6회 우리동네꿈나무예술학교오케스트라 정기연주회,(사) 강동문화원,서양음악(클래식),02-488-0386,http://www.gdcc.or.kr/xe/,AG017702
"제9회 강동구소년소녀합창단 정기연주회, 엠스트링 정기연주회: 하이든과 드보르작의 만남",(사) 강동음악협회,서양음악(클래식),02-6081-4186,https://www.facebook.com/gdma2016,AG017580
"제1회 강릉국제영화제, 스페셜 콘서트",(사) 강릉국제영화제,복합,070-4469-2264,http://www.giff.kr/kor/,AG007332
